#Source_pybdsf Source_cat RA_cat DEC_cat RA_pybdsf DEC_pybdsf Flux_cat Flux_pbdsf E_Flux_pybdsf Peak_flux_pybdsf E_Peak_flux_pybdsf S_Code
0 11493 269.646303 1.3633 269.6461236603665 1.36338869095155 0.506486 0.4617251875 0.0498158746 0.4617251875 0.02963510203  C   
1 10704 269.647223 1.35976 269.6467003246378 1.36030671740819 0.173913 0.22743988499 0.0498158746 0.22743988499 0.02963510203  C   
2 14503 269.646775 1.37548 269.64643044350726 1.37555994000414 0.722662 1.16021470574 0.07035254047 0.81590217044 0.0289956252099999  M   
3 7283 269.646306 1.37226 269.6462839102856 1.37225166246641 0.289292 0.25673485966 0.04974675844 0.25673485966 0.02959398533  C   
4 6282 269.646878 1.38793 269.64643186410007 1.38782833720321 0.382857 0.19875530498 0.0502612790499999 0.19875530498 0.0299000699  S   
5 9263 269.643984 1.38097 269.6445954424151 1.38108895317811 0.135789 0.22594561767 0.04939396034 0.22594561767 0.0293841083  S   
6 3501 269.643409 1.3952 269.6434484534 1.39505170913713 0.504008 0.37383357332 0.04997777173 0.37383357332 0.0297314134599999  C   
7 4687 269.643272 1.3911 269.64360835739234 1.39116253341433 0.256337 0.25550838762 0.04997777173 0.25550838762 0.0297314134599999  C   
8 9704 269.639976 1.38533 269.6401384164221 1.38532084853995 0.446135 0.74656744785 0.08355499227 0.46853913582 0.02811767888  M   
9 9942 269.637393 1.3627399999999998 269.63735424383293 1.36303345853203 0.271475 0.26527324768 0.04733704478 0.26527324768 0.02816046417  C   
10 9554 269.637147 1.36551 269.6368145343424 1.36586777197666 0.164364 0.13132009355 0.04733704478 0.13132009355 0.02816046417  C   
13 10207 269.639904 1.39993 269.63988424962224 1.40002624257514 0.315496 0.28007950938 0.04922034795 0.28007950938 0.02928082755  C   
14 8632 269.636159 1.40012 269.6369892864474 1.39919837141667 0.056794 0.14003206337 0.04922034795 0.14003206337 0.02928082755  C   
15 13114 269.637608 1.32749 269.6375315345702 1.3275209704303 0.969119 0.8875029814200001 0.07044707855 0.81358567755 0.02903458884  M   
16 12888 269.639061 1.3302200000000002 269.63894443364643 1.33042177428001 0.54601 0.42009682896 0.04981360696 0.42009682896 0.0296337530199999  C   
17 6555 269.636269 1.33067 269.6365902448758 1.33105865045817 0.096729 0.10578779216 0.04981360696 0.10578779216 0.0296337530199999  C   
18 10128 269.636811 1.35737 269.6368269443768 1.35731051262443 0.617118 0.5713895024400001 0.04695717797 0.5713895024400001 0.02793448416  S   
19 12926 269.63704 1.338 269.6370372075939 1.33796743809712 3.702845 3.28508438111 0.0484776353099999 3.28508438111 0.02883899319  S   
20 12385 269.637464 1.3506900000000002 269.63693139476925 1.3501045392596 0.148243 0.16227524642 0.04700340018 0.16227524642 0.0279619814199999  C   
23 12464 269.636129 1.36945 269.6363623387484 1.36884084704616 0.106118 0.13010892742 0.04621232319 0.13010892742 0.02749137546  C   
25 14674 269.633459 1.39239 269.6337375535267 1.39223340052409 0.315362 0.80481711034 0.08071272172 0.42752833218 0.0271612064  M   
26 7221 269.63545700000003 1.3235 269.6352379451672 1.32349906032813 0.178351 0.1519450892 0.0495138885399999 0.1519450892 0.02945545271  S   
27 11725 269.63352000000003 1.3615199999999998 269.6336661809666 1.36146563838124 0.192459 0.23179741301 0.04536546708 0.23179741301 0.02698758691  S   
28 9681 269.632421 1.40278 269.6323466946696 1.40270938349838 0.658188 0.75781836943 0.04723854893 0.75781836943 0.0281018697  S   
29 5670 269.632185 1.32839 269.631516790265 1.32866846315518 0.187409 0.18043927921 0.04706125436 0.18043927921 0.0279963984499999  S   
30 11876 269.63187600000003 1.41921 269.6317360700221 1.41918165118875 0.847774 0.54086756044 0.0498251026 0.54086756044 0.0296405917  S   
31 8615 269.631015 1.3463200000000002 269.63095723159785 1.34630304129335 0.639677 0.48763388155 0.04540246537 0.48763388155 0.02700959693  C   
32 3622 269.631264 1.3433400000000002 269.6312793681448 1.34311087796809 0.283894 0.2665251092 0.04540246537 0.2665251092 0.02700959693  C   
33 2775 269.63123 1.33713 269.63104228276035 1.33703598481284 0.337394 0.3015192999 0.04598155839 0.3015192999 0.02735409516  S   
34 12877 269.63003 1.31462 269.6299926432497 1.31456884379592 3.338697 2.94485110464 0.04830447955 2.94485110464 0.02873598409  S   
35 9058 269.629973 1.4071399999999998 269.63017269965223 1.40730845280688 0.071558 0.1792353749799999 0.0471447981 0.1792353749799999 0.02804609802  S   
36 6535 269.630073 1.42313 269.62975283182345 1.42325368576412 0.24161 0.28110979946 0.04975076602 0.28110979946 0.02959636941  S   
37 44 269.62754 1.37163 269.6275389588874 1.37162367817021 1.659571 1.74178910587 0.06158074966 1.62876256889 0.02538035336  M   
38 11621 269.624524 1.37092 269.62451828253825 1.37104520051349 0.511999 0.35956565924 0.0435441656699999 0.35956565924 0.02590410793  C   
39 10326 269.629801 1.37534 269.62967270473337 1.3752208843955 0.303496 0.2471451544299999 0.0435441656699999 0.2471451544299999 0.02590410793  C   
40 6886 269.626132 1.36101 269.62634946299295 1.36097981104694 0.180292 0.35902216886 0.06164902012 0.23470422531 0.02540849086  M   
41 4961 269.628967 1.3641599999999998 269.62877012763977 1.36382792055907 0.248119 0.19461908203 0.04359244018 0.19461908203 0.02593282609  C   
42 2990 269.627777 1.30798 269.6281055928486 1.30763093951864 0.195553 0.17401657074 0.04800081582 0.17401657074 0.02855533674  C   
43 13986 269.626963 1.31128 269.62666053155885 1.3112784522258 0.250706 0.12796391174 0.04800081582 0.12796391174 0.02855533674  C   
